T [fm^-1]		beta_pi
0.7936		0.302093041236062
0.7944		0.30478179165461
0.7952		0.30748825627983
0.796		0.310212462087482
0.7968		0.312954435233756
0.7976		0.315714201058914
0.7984		0.318491784091993
0.7992		0.321287208054655
0.8		0.324100495866427
0.8008		0.326931669649854
0.8016		0.329780750734783
0.8024		0.332647759665672
0.8032		0.335532716206254
0.804		0.338435639346271
0.8048		0.341356547307272
0.8056		0.344295457550596
0.8064		0.347252386783054
0.8072		0.350227350964761
0.808		0.353220365316562
0.8088		0.356231444328186
0.8096		0.359260601765346
0.8104		0.362307850678817
0.8112		0.365373203412522
0.812		0.368456671612009
0.8128		0.3715582662339
0.8136		0.374677997554916
0.8144		0.377815875180605
0.8152		0.380971908055619
0.816		0.384146104473464
0.8168		0.387338472085538
0.8176		0.390549017912766
0.8184		0.393777748354206
0.8192		0.397024669199211
0.82		0.400289785636793
0.8208		0.403573102267164
0.8216		0.406874623112348
0.8224		0.410194351627897
0.8232		0.413532290713209
0.824		0.41688844272417
0.8248		0.420262809483146
0.8256		0.423655392292323
0.8264		0.427066191944848
0.8272		0.430495208735609
0.828		0.433942442475099
0.8288		0.437407892500607
0.8296		0.440891557688001
0.8304		0.444393436465032
0.8312		0.447913526822357
0.832		0.451451826327693
0.8328		0.455008332136714
0.8336		0.458583041006299
0.8344		0.462175949307276
0.8352		0.465787053036652
0.836		0.46941634783029
0.8368		0.473063828976686
0.8376		0.476729491427873
0.8384		0.480413329813314
0.8392		0.484115338452911
0.84		0.487835511369391
0.8408		0.491573842300277
0.8416		0.495330324712215
0.8424		0.499104951812512
0.8432		0.502897716562392
0.844		0.506708611689629
0.8448		0.510537629701034
0.8456		0.514384762895494
0.8464		0.518250003375957
0.8472		0.522133343062509
0.848		0.526034773704951
0.8488		0.529954286894742
0.8496		0.53389187407732
0.8504		0.537847526565324
0.8512		0.541821235549748
0.852		0.545812992112659
0.8528		0.549822787239645
0.8536		0.553850611830051
0.8544		0.557896456711524
0.8552		0.56196031264971
0.856		0.56604217036062
0.8568		0.570142020522358
0.8576		0.574259853786452
0.8584		0.578395660789136
0.8592		0.582549432163181
0.86		0.586721158547518
0.8608		0.590910830600016
0.8616		0.595118439007419
0.8624		0.599343974496535
0.8632		0.6035874278436
0.864		0.607848789886724
0.8648		0.612128051534318
0.8656		0.61642520377693
0.8664		0.620740237695513
0.8672		0.625073144473196
0.868		0.629423915403351
0.8688		0.633792541900385
0.8696		0.63817901550892
0.8704		0.64258332791161
0.8712		0.647005470940867
0.872		0.651445436585877
0.8728		0.655903217001494
0.8736		0.660378804517948
0.8744		0.664872191647813
0.8752		0.669383371096329
0.876		0.673912335767259
0.8768		0.67845907877216
0.8776		0.683023593438012
0.8784		0.6876058733144
0.8792		0.692205912181812
0.88		0.696823704057848
0.8808		0.701459243204864
0.8816		0.706112524137199
0.8824		0.710783541626763
0.8832		0.715472290711733
0.884		0.720178766700046
0.8848		0.724902965178525
0.8856		0.729644882016705
0.8864		0.734404513374372
0.8872		0.739181855706036
0.888		0.743976905767345
0.8888		0.748789660619202
0.8896		0.753620117635218
0.8904		0.758468274504145
0.8912		0.76333412923656
0.892		0.768217680168821
0.8928		0.773118925967713
0.8936		0.778037865634427
0.8944		0.782974498509666
0.8952		0.787928824276533
0.896		0.792900842966151
0.8968		0.797890554958699
0.8976		0.802897960989231
0.8984		0.807923062150233
0.8992		0.812965859894707
0.9		0.818026356039715
0.9008		0.823104552768853
0.9016		0.828200452635063
0.9024		0.833314058563211
0.9032		0.838445373853066
0.904		0.843594402181189
0.9048		0.848761147602785
