tau [fm]		R_PiNS^-1
5.995		-0.098012
6		-0.0977449
6.005		-0.0974792
6.01		-0.097215
6.015		-0.0969522
6.02		-0.0966909
6.025		-0.0964311
6.03		-0.0961727
6.035		-0.0959157
6.04		-0.0956601
6.045		-0.0954059
6.05		-0.0951531
6.055		-0.0949017
6.06		-0.0946517
6.065		-0.094403
6.07		-0.0941557
6.075		-0.0939097
6.08		-0.0936651
6.085		-0.0934218
6.09		-0.0931798
6.095		-0.0929391
6.1		-0.0926997
6.105		-0.0924617
6.11		-0.0922249
6.115		-0.0919893
6.12		-0.0917551
6.125		-0.0915221
6.13		-0.0912903
6.135		-0.0910598
6.14		-0.0908305
6.145		-0.0906025
6.15		-0.0903756
6.155		-0.09015
6.16		-0.0899255
6.165		-0.0897023
6.17		-0.0894802
6.175		-0.0892594
6.18		-0.0890396
6.185		-0.0888211
6.19		-0.0886037
6.195		-0.0883874
6.2		-0.0881723
6.205		-0.0879583
6.21		-0.0877454
6.215		-0.0875336
6.22		-0.087323
6.225		-0.0871134
6.23		-0.0869049
6.235		-0.0866975
6.24		-0.0864912
6.245		-0.086286
6.25		-0.0860818
6.255		-0.0858787
6.26		-0.0856766
6.265		-0.0854756
6.27		-0.0852756
6.275		-0.0850767
6.28		-0.0848787
6.285		-0.0846818
6.29		-0.0844859
6.295		-0.084291
6.3		-0.084097
6.305		-0.0839041
6.31		-0.0837122
6.315		-0.0835212
6.32		-0.0833312
6.325		-0.0831421
6.33		-0.0829541
6.335		-0.0827669
6.34		-0.0825807
6.345		-0.0823955
6.35		-0.0822112
6.355		-0.0820278
6.36		-0.0818453
6.365		-0.0816637
6.37		-0.0814831
6.375		-0.0813033
6.38		-0.0811245
6.385		-0.0809465
6.39		-0.0807695
6.395		-0.0805933
6.4		-0.0804179
6.405		-0.0802435
6.41		-0.0800699
6.415		-0.0798972
6.42		-0.0797253
6.425		-0.0795542
6.43		-0.079384
6.435		-0.0792147
6.44		-0.0790462
6.445		-0.0788784
6.45		-0.0787116
6.455		-0.0785455
6.46		-0.0783802
6.465		-0.0782158
6.47		-0.0780521
6.475		-0.0778892
6.48		-0.0777272
6.485		-0.0775659
6.49		-0.0774054
6.495		-0.0772456
6.5		-0.0770866
6.505		-0.0769284
6.51		-0.076771
6.515		-0.0766143
6.52		-0.0764583
6.525		-0.0763031
6.53		-0.0761487
6.535		-0.075995
6.54		-0.075842
6.545		-0.0756897
6.55		-0.0755382
6.555		-0.0753873
6.56		-0.0752372
6.565		-0.0750878
6.57		-0.0749391
6.575		-0.0747911
6.58		-0.0746438
6.585		-0.0744972
6.59		-0.0743513
6.595		-0.074206
6.6		-0.0740615
6.605		-0.0739176
6.61		-0.0737744
6.615		-0.0736318
6.62		-0.0734899
6.625		-0.0733487
6.63		-0.0732081
6.635		-0.0730682
6.64		-0.0729289
6.645		-0.0727902
6.65		-0.0726522
6.655		-0.0725148
6.66		-0.0723781
6.665		-0.072242
6.67		-0.0721065
6.675		-0.0719716
6.68		-0.0718374
6.685		-0.0717037
6.69		-0.0715707
6.695		-0.0714382
6.7		-0.0713064
6.705		-0.0711751
6.71		-0.0710445
6.715		-0.0709144
6.72		-0.070785
6.725		-0.0706561
6.73		-0.0705277
6.735		-0.0704
6.74		-0.0702728
6.745		-0.0701462
6.75		-0.0700202
6.755		-0.0698947
6.76		-0.0697698
6.765		-0.0696454
6.77		-0.0695216
6.775		-0.0693984
6.78		-0.0692756
6.785		-0.0691535
6.79		-0.0690318
6.795		-0.0689107
6.8		-0.0687902
6.805		-0.0686701
6.81		-0.0685506
6.815		-0.0684316
6.82		-0.0683131
6.825		-0.0681952
6.83		-0.0680777
6.835		-0.0679608
6.84		-0.0678443
6.845		-0.0677284
6.85		-0.067613
6.855		-0.0674981
6.86		-0.0673836
6.865		-0.0672697
6.87		-0.0671563
6.875		-0.0670433
6.88		-0.0669308
6.885		-0.0668188
6.89		-0.0667073
6.895		-0.0665962
6.9		-0.0664857
6.905		-0.0663756
6.91		-0.0662659
6.915		-0.0661568
6.92		-0.066048
6.925		-0.0659398
6.93		-0.065832
6.935		-0.0657247
6.94		-0.0656178
6.945		-0.0655113
6.95		-0.0654053
6.955		-0.0652998
6.96		-0.0651947
6.965		-0.06509
6.97		-0.0649857
6.975		-0.0648819
6.98		-0.0647786
6.985		-0.0646756
6.99		-0.0645731
6.995		-0.064471
7		-0.0643693
7.005		-0.064268
7.01		-0.0641672
7.015		-0.0640668
7.02		-0.0639667
7.025		-0.0638671
7.03		-0.0637679
7.035		-0.0636691
7.04		-0.0635707
7.045		-0.0634727
7.05		-0.0633751
7.055		-0.0632779
7.06		-0.0631811
7.065		-0.0630847
7.07		-0.0629887
7.075		-0.062893
7.08		-0.0627977
7.085		-0.0627029
7.09		-0.0626083
7.095		-0.0625142
7.1		-0.0624205
