tau [fm]		R_PiNS^-1
84.75		-0.00486093
84.85		-0.00485075
84.95		-0.00484063
85.05		-0.00483057
85.15		-0.00482057
85.25		-0.00481063
85.35		-0.00480075
85.45		-0.00479093
85.55		-0.00478117
85.65		-0.00477146
85.75		-0.00476181
85.85		-0.00475222
85.95		-0.00474269
86.05		-0.00473321
86.15		-0.00472378
86.25		-0.00471442
86.35		-0.0047051
86.45		-0.00469584
86.55		-0.00468663
86.65		-0.00467748
86.75		-0.00466837
86.85		-0.00465932
86.95		-0.00465033
87.05		-0.00464138
87.15		-0.00463248
87.25		-0.00462363
87.35		-0.00461483
87.45		-0.00460609
87.55		-0.00459739
87.65		-0.00458873
87.75		-0.00458013
87.85		-0.00457157
87.95		-0.00456306
88.05		-0.0045546
88.15		-0.00454619
88.25		-0.00453782
88.35		-0.00452949
88.45		-0.00452121
88.55		-0.00451298
88.65		-0.00450478
88.75		-0.00449664
88.85		-0.00448853
88.95		-0.00448047
89.05		-0.00447246
89.15		-0.00446448
89.25		-0.00445655
89.35		-0.00444866
89.45		-0.00444081
89.55		-0.004433
89.65		-0.00442523
89.75		-0.0044175
89.85		-0.00440981
89.95		-0.00440216
90.05		-0.00439456
90.15		-0.00438699
90.25		-0.00437945
90.35		-0.00437196
90.45		-0.00436451
90.55		-0.00435709
90.65		-0.00434971
90.75		-0.00434237
90.85		-0.00433506
90.95		-0.00432779
91.05		-0.00432056
91.15		-0.00431336
91.25		-0.0043062
91.35		-0.00429907
91.45		-0.00429198
91.55		-0.00428492
91.65		-0.0042779
91.75		-0.00427091
91.85		-0.00426396
91.95		-0.00425704
92.05		-0.00425015
92.15		-0.00424329
92.25		-0.00423647
92.35		-0.00422968
92.45		-0.00422293
92.55		-0.0042162
92.65		-0.00420951
92.75		-0.00420285
92.85		-0.00419622
92.95		-0.00418962
93.05		-0.00418305
93.15		-0.00417651
93.25		-0.00417001
93.35		-0.00416353
93.45		-0.00415708
93.55		-0.00415066
93.65		-0.00414428
93.75		-0.00413792
93.85		-0.00413159
93.95		-0.00412528
94.05		-0.00411901
94.15		-0.00411277
94.25		-0.00410655
94.35		-0.00410036
94.45		-0.0040942
94.55		-0.00408807
94.65		-0.00408196
94.75		-0.00407588
94.85		-0.00406983
94.95		-0.0040638
95.05		-0.0040578
95.15		-0.00405183
95.25		-0.00404588
95.35		-0.00403996
95.45		-0.00403406
95.55		-0.00402819
95.65		-0.00402234
95.75		-0.00401652
95.85		-0.00401073
95.95		-0.00400496
96.05		-0.00399921
96.15		-0.00399349
96.25		-0.00398779
96.35		-0.00398211
96.45		-0.00397646
96.55		-0.00397084
96.65		-0.00396523
96.75		-0.00395965
96.85		-0.0039541
96.95		-0.00394856
97.05		-0.00394305
97.15		-0.00393756
97.25		-0.00393209
97.35		-0.00392665
97.45		-0.00392123
97.55		-0.00391583
97.65		-0.00391045
97.75		-0.00390509
97.85		-0.00389976
97.95		-0.00389444
98.05		-0.00388915
98.15		-0.00388388
98.25		-0.00387863
98.35		-0.0038734
98.45		-0.00386819
