tau [fm]		R_piNS^-1
92.05		0.0135953
92.15		0.0135808
92.25		0.0135663
92.35		0.0135518
92.45		0.0135374
92.55		0.013523
92.65		0.0135087
92.75		0.0134944
92.85		0.0134801
92.95		0.0134658
93.05		0.0134516
93.15		0.0134374
93.25		0.0134232
93.35		0.0134091
93.45		0.013395
93.55		0.0133809
93.65		0.0133669
93.75		0.0133528
93.85		0.0133389
93.95		0.0133249
94.05		0.013311
94.15		0.0132971
94.25		0.0132832
94.35		0.0132694
94.45		0.0132556
94.55		0.0132418
94.65		0.0132281
94.75		0.0132144
94.85		0.0132007
94.95		0.013187
95.05		0.0131734
95.15		0.0131598
95.25		0.0131463
95.35		0.0131327
95.45		0.0131192
95.55		0.0131057
95.65		0.0130923
95.75		0.0130789
95.85		0.0130655
95.95		0.0130521
96.05		0.0130388
96.15		0.0130255
96.25		0.0130122
96.35		0.0129989
96.45		0.0129857
96.55		0.0129725
96.65		0.0129594
96.75		0.0129462
96.85		0.0129331
96.95		0.01292
97.05		0.012907
97.15		0.0128939
97.25		0.0128809
97.35		0.012868
97.45		0.012855
97.55		0.0128421
97.65		0.0128292
97.75		0.0128164
97.85		0.0128035
97.95		0.0127907
98.05		0.0127779
98.15		0.0127652
98.25		0.0127524
98.35		0.0127397
98.45		0.012727
98.55		0.0127144
98.65		0.0127018
98.75		0.0126892
98.85		0.0126766
98.95		0.012664
99.05		0.0126515
99.15		0.012639
99.25		0.0126266
99.35		0.0126141
99.45		0.0126017
99.55		0.0125893
99.65		0.0125769
99.75		0.0125646
99.85		0.0125523
99.95		0.01254
